"ts;""comp_amt"";""comp_rgainfinal"";""comp_round"";""num"";""id"";""gr"";""lang"""
"2025-02-13 11:55:52;150000;1532535;12;472;""tp"";""1"";1"
"2025-02-13 12:08:38;100000;881237;4;473;""1o"";""2"";1"
"2025-02-13 12:21:01;100000;0;6;474;""F0"";""1"";1"
"2025-02-13 12:25:24;100000;754060;8;475;""lg"";""2"";1"
"2025-02-13 12:48:10;100000;0;3;476;""Y3"";""2"";1"
"2025-02-13 13:03:42;100000;0;7;477;""89"";""2"";1"
"2025-02-13 13:37:26;150000;2774996;13;478;""t8"";""1"";1"
"2025-02-13 13:41:31;250000;5672025;15;479;""aj"";""2"";1"
"2025-02-13 14:09:20;100000;0;4;480;""BQ"";""1"";1"
"2025-02-13 14:36:47;100000;0;3;481;""Hm"";""2"";1"
"2025-02-13 14:46:47;100000;0;3;482;""nK"";""2"";1"
"2025-02-13 14:58:10;150000;4493470;13;483;""9Y"";""1"";1"
"2025-02-13 15:11:47;100000;0;4;484;""57"";""1"";1"
"2025-02-13 15:12:58;100000;0;4;485;""xR"";""2"";1"
"2025-02-13 15:18:46;100000;0;3;486;""T5"";""2"";1"
"2025-02-13 15:31:32;100000;0;4;487;""Ri"";""1"";1"
"2025-02-13 16:06:55;150000;4995454;14;488;""1n"";""1"";1"
"2025-02-13 16:25:46;250000;6099985;15;489;""Tz"";""2"";1"
"2025-02-13 16:42:35;100000;0;5;490;""3B"";""1"";1"
"2025-02-13 16:50:33;100000;0;6;491;""75"";""2"";1"
"2025-02-13 17:01:24;100000;0;5;492;""Pv"";""1"";1"
"2025-02-13 17:14:43;100000;0;7;493;""wH"";""2"";1"
"2025-02-13 17:14:45;100000;0;9;494;""iM"";""1"";1"
"2025-02-13 17:27:49;100000;0;5;495;""VZ"";""2"";1"
"2025-02-13 17:31:47;100000;0;8;496;""IW"";""1"";1"
"2025-02-13 17:49:06;250000;5428251;14;497;""rU"";""2"";1"
"2025-02-13 17:54:35;100000;0;1;498;""v6"";""1"";1"
