"ts;""counter"";""num"";""id"";""gr"";""lang"";""au"""
"2024-11-14 13:55:48;1;1488;""iq"";""2"";1;0"
"2024-11-14 13:56:15;1;1489;""SU"";""1"";1;1"
"2024-11-14 13:56:37;1;1490;""DM"";""2"";1;1"
"2024-11-14 13:59:57;1;1491;""pC"";""1"";1;0"
"2024-11-14 14:00:44;1;1492;""SZ"";""2"";1;0"
"2024-11-14 14:02:04;1;1493;""U1"";""1"";1;1"
"2024-11-14 14:02:36;1;1494;""o8"";""2"";1;1"
"2024-11-14 14:05:07;1;1495;""ka"";""1"";1;0"
"2024-11-14 14:06:28;1;1496;""7M"";""2"";1;0"
"2024-11-14 14:06:37;1;1497;""eJ"";""1"";1;1"
"2024-11-14 14:06:50;1;1498;""t7"";""2"";1;1"
"2024-11-14 20:24:52;1;1499;""xD"";""1"";1;0"
