"gr;""id"";""lang"";""ts"";""round"";""trx"";""sec"";""pos"";""activity"";""price"";""crypto"";""fiat"";""crypto_prev"";""fiat_prev"";""sell"";""buy"";""buy_prev"";""t_gain"";""t_tax"";""t_gain_net"";""r_gain"";""r_gain_prev"";""r_tax"";""r_tax_prev"";""r_gain_net"";""tax_disclos"";""tax_discre"";""audit"";""penalty"";""r_gain_final"";""num"""
"1;""DT"";1;""2024-10-08 01:53:38"";10;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120"
"2;""oI"";1;""2024-10-08 01:50:46"";5;2;33;""s"";""buying"";1034771;1.0;0;0.0;1036055;0;1034771;1034771;0;0;0;1036055;1036055;207211;207211;828844;0;207211;0;0;1036055;121"
"1;""0P"";1;""2024-10-08 07:32:42"";2;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122"
"1;""sD"";1;""2024-10-08 02:20:08"";5;3;31;""b"";""selling"";1024127;0.0;1003644;0.98;0;1024127;1035805;1035805;-11678;0;-11678;999920;1011598;199984;202319;799936;0;199984;0;0;999920;123"
"2;""oI"";1;""2024-10-08 01:53:39"";8;2;25;""s"";""buying"";619878;0.85;0;0.0;523844;0;619878;619878;0;0;0;523844;523844;104768;104768;419076;0;104768;0;0;523844;124"
"1;""DT"";1;""2024-10-08 01:50:47"";7;2;27;""s"";""buying"";870625;0.94;0;0.0;819249;0;870625;870625;0;0;0;819249;819249;163849;163849;655400;0;163849;0;0;819249;125"
"1;""sD"";1;""2024-10-08 02:20:10"";5;4;29;""s"";""buying"";1026642;0.98;0;0.0;1003644;0;1026642;1026642;0;0;0;999920;999920;199984;199984;799936;0;199984;0;0;999920;126"
"1;""0P"";1;""2024-10-08 07:32:54"";2;1;30;""b"";""selling"";402397;0.0;402397;1.0;0;402397;0;0;402397;80479;321918;402397;0;80479;0;321918;0;80479;0;0;402397;127"
"1;""DT"";1;""2024-10-08 01:53:40"";10;1;39;""b"";""selling"";907394;0.0;907394;1.0;0;907394;0;0;907394;181478;725916;907394;0;181478;0;725916;0;181478;0;0;907394;128"
"2;""oI"";1;""2024-10-08 01:50:50"";5;3;29;""b"";""selling"";1026642;0.0;1026642;1.0;0;1026642;1034771;1034771;-8129;0;-8129;1027926;1036055;205585;207211;822341;0;205585;0;0;1027926;129"
